Experience,Job Type,Location,Education Level,Major,Level,Industry,Salary_in_USD
1.0,Temporary,Qatar,Unknown,IT & Computer Science,Assistant,Other,1236.263736263736
2.0,Full-time,Unknown,Bachelor,Healthcare & Nursing,Unknown,Healthcare,3746.5430402930397
3.0,Full-time,Unknown,Bachelor,Sales & Marketing,Mid,Food & Beverage,1510.989010989011
1.0,Full-time,Unknown,Unknown,Food & Beverage,Junior,Hospitality,686.8131868131867
2.0,Full-time,Unknown,Unknown,IT & Computer Science,Unknown,Other,947.8021978021977
2.0,Full-time,Unknown,Bachelor,Sales & Marketing,Unknown,Other,1098.9010989010987
2.0,Full-time,Unknown,Bachelor,Other,Unknown,Retail,824.1758241758241
3.0,Full-time,UAE,Unknown,Other,Unknown,Manufacturing,3405.9945504087195
0.0,Full-time,UAE,Unknown,IT & Computer Science,Junior,Other,599.4550408719347
2.0,Full-time,UAE,Bachelor,Business,Unknown,Real Estate,2452.316076294278
1.0,Full-time,UAE,Unknown,Other,Unknown,Other,817.574931880109
0.0,Full-time,UAE,Bachelor,Finance & Accounting,Executive,Other,11580.381471389646
5.0,Full-time,UAE,Bachelor,Business,Manager,Real Estate,3814.713896457766
0.0,Full-time,UAE,Unknown,Other,Unknown,Retail,1907.356948228883
5.0,Full-time,UAE,Unknown,Business,Unknown,Other,681.198910081744
1.0,Full-time,UAE,Unknown,Other,Junior,Retail,613.0790190735695
0.0,Full-time,UAE,Unknown,Business,Junior,Retail,681.198910081744
0.0,Full-time,UAE,Unknown,Other,Unknown,Retail,681.198910081744
3.0,Temporary,UAE,Unknown,Other,Lead,Technology,1634.8773841961854
3.0,Full-time,UAE,Unknown,Business,Unknown,Recreation,1226.158038147139
2.0,Full-time,UAE,Unknown,Business,Assistant,Other,1771.1171662125341
5.0,Full-time,UAE,Bachelor,Other,Unknown,Technology,1294.2779291553136
1.0,Full-time,UAE,Unknown,Sales & Marketing,Unknown,Retail,613.0790190735695
2.0,Full-time,UAE,College,Business,Unknown,Technology,1498.6376021798367
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,1634.8773841961854
2.0,Full-time,UAE,Bachelor,Other,Junior,Retail,953.6784741144415
5.0,Full-time,UAE,Unknown,Business,Manager,Services,2724.795640326976
0.0,Full-time,UAE,Unknown,Other,Executive,Technology,408.71934604904635
0.0,Temporary,UAE,Unknown,Other,Lead,Technology,817.4386920980927
2.0,Full-time,UAE,Bachelor,Other,Mid,Education,3269.754768392371
1.0,Full-time,UAE,Unknown,Other,Unknown,Technology,681.198910081744
0.0,Full-time,UAE,Bachelor,Sales & Marketing,Executive,Other,1021.7983651226159
2.0,Full-time,UAE,Bachelor,IT & Computer Science,Assistant,Other,885.5585831062671
7.0,Full-time,UAE,Bachelor,Engineering & Technology,Manager,Construction,1089.9182561307903
1.0,Full-time,UAE,High School,Food & Beverage,Unknown,Hospitality,476.83923705722077
5.0,Full-time,UAE,Bachelor,Business,Manager,Retail,2997.2752043596734
3.0,Full-time,UAE,Unknown,Other,Executive,Manufacturing,1362.397820163488
5.0,Full-time,UAE,Bachelor,Other,Unknown,Other,1226.158038147139
5.0,Temporary,UAE,Unknown,Other,Executive,Other,1771.1171662125341
0.0,Full-time,UAE,Unknown,Business,Manager,Real Estate,2997.2752043596734
3.0,Full-time,UAE,Unknown,Other,Unknown,Other,1634.8773841961854
0.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,2724.795640326976
3.0,Full-time,UAE,High School,Other,Unknown,Other,1634.8773841961854
0.0,Full-time,UAE,Bachelor,Business,Intern,Other,544.9591280653951
2.0,Full-time,UAE,Unknown,Other,Unknown,Education,953.6784741144415
5.0,Unknown,Unknown,Unknown,Other,Manager,Other,2179.8365122615805
0.0,Full-time,UAE,Unknown,Sales & Marketing,Unknown,Retail,1634.8773841961854
0.0,Full-time,UAE,Unknown,Real Estate & Construction,Lead,Real Estate,817.4386920980927
1.0,Full-time,UAE,Unknown,Other,Unknown,Real Estate,885.5585831062671
0.0,Full-time,UAE,Unknown,Business,Manager,Other,1089.9182561307903
0.0,Full-time,UAE,High School,Other,Junior,Construction,749.3188010899183
1.0,Full-time,UAE,Unknown,Business,Manager,Retail,1907.356948228883
3.0,Full-time,UAE,Unknown,IT & Computer Science,Mid,Technology,817.4386920980927
2.0,Full-time,UAE,Unknown,IT & Computer Science,Lead,Other,558.5831062670301
4.0,Full-time,UAE,Diploma,Engineering & Technology,Unknown,Construction,449.591280653951
5.0,Full-time,UAE,Unknown,Sales & Marketing,Executive,Healthcare,1089.9182561307903
0.0,Full-time,UAE,Unknown,IT & Computer Science,Executive,Retail,681.198910081744
0.0,Full-time,UAE,Unknown,Sales & Marketing,Manager,Retail,2588.555858310627
0.0,Full-time,UAE,Unknown,Finance & Accounting,Junior,Other,1634.8773841961854
0.0,Full-time,UAE,Unknown,Other,Unknown,Manufacturing,435.9673024523161
0.0,Full-time,UAE,Unknown,Healthcare & Nursing,Unknown,Healthcare,1634.8773841961854
2.0,Full-time,UAE,Unknown,Other,Lead,Technology,1089.9182561307903
3.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Manufacturing,476.83923705722077
2.0,Unknown,Unknown,Unknown,Other,Executive,Other,749.3188010899183
0.0,Full-time,UAE,Unknown,Business,Manager,Retail,613.0790190735695
0.0,Full-time,UAE,Unknown,Business,Junior,Education,749.3188010899183
5.0,Full-time,UAE,Unknown,Real Estate & Construction,Lead,Manufacturing,817.4386920980927
2.0,Full-time,UAE,Unknown,Food & Beverage,Unknown,Food & Beverage,613.0790190735695
3.0,Full-time,UAE,Unknown,IT & Computer Science,Assistant,Food & Beverage,681.198910081744
3.0,Full-time,UAE,Unknown,Business,Unknown,Retail,2724.795640326976
3.0,Full-time,UAE,Unknown,Business,Executive,Manufacturing,1021.7983651226159
0.0,Part-time,UAE,Bachelor,Other,Unknown,Education,136.23978201634878
2.0,Full-time,UAE,Bachelor,Healthcare & Nursing,Unknown,Healthcare,2316.0762942779293
0.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,817.4386920980927
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Senior,Real Estate,817.4386920980927
2.0,Full-time,UAE,Bachelor,IT & Computer Science,Manager,Energy,953.6784741144415
3.0,Full-time,UAE,Unknown,Healthcare & Nursing,Unknown,Healthcare,1975.4768392370574
5.0,Full-time,UAE,Bachelor,Business,Unknown,Technology,1634.8773841961854
2.0,Full-time,UAE,Unknown,Business,Lead,Other,681.198910081744
0.0,Full-time,UAE,Unknown,Business,Manager,Hospitality,3405.9945504087195
1.0,Full-time,UAE,Unknown,Other,Manager,Healthcare,817.4386920980927
1.0,Part-time,UAE,Bachelor,Education & Teaching,Unknown,Education,3814.713896457766
0.0,Full-time,UAE,Unknown,IT & Computer Science,Assistant,Other,4904.632152588556
0.0,Full-time,UAE,Bachelor,Healthcare & Nursing,Assistant,Healthcare,2043.5967302452318
1.0,Full-time,UAE,Unknown,Other,Unknown,Retail,749.3188010899183
1.0,Full-time,UAE,Unknown,Business,Lead,Hospitality,517.7111716621254
0.0,Full-time,UAE,Unknown,Education & Teaching,Unknown,Education,1226.158038147139
0.0,Full-time,UAE,Unknown,Food & Beverage,Manager,Food & Beverage,1226.158038147139
0.0,Full-time,UAE,Unknown,IT & Computer Science,Unknown,Manufacturing,640.3269754768393
2.0,Full-time,UAE,Bachelor,Healthcare & Nursing,Unknown,Healthcare,3405.9945504087195
2.0,Full-time,UAE,Bachelor,Education & Teaching,Senior,Education,1226.158038147139
2.0,Full-time,UAE,Bachelor,Other,Unknown,Education,1226.158038147139
7.0,Full-time,UAE,Unknown,IT & Computer Science,Senior,Construction,476.83923705722077
1.0,Full-time,UAE,Unknown,Other,Unknown,Retail,912.8065395095368
3.0,Full-time,UAE,Unknown,IT & Computer Science,Unknown,Other,885.5585831062671
1.0,Full-time,UAE,Unknown,IT & Computer Science,Junior,Healthcare,544.9591280653951
1.0,Full-time,UAE,Unknown,Healthcare & Nursing,Unknown,Healthcare,2588.555858310627
0.0,Internship,UAE,Bachelor,Sales & Marketing,Intern,Technology,544.9591280653951
4.0,Full-time,UAE,Diploma,IT & Computer Science,Manager,Manufacturing,681.198910081744
0.0,Full-time,USA,Bachelor,Healthcare & Nursing,Junior,Healthcare,14.850136239782017
0.0,Full-time,USA,Bachelor,Healthcare & Nursing,Junior,Healthcare,37.73841961852862
0.0,Full-time,UAE,Unknown,Real Estate & Construction,Mid,Real Estate,953.6784741144415
2.0,Full-time,Unknown,Bachelor,Healthcare & Nursing,Unknown,Healthcare,3748.0699364214356
2.0,Full-time,UAE,Unknown,IT & Computer Science,Unknown,Manufacturing,817.4386920980927
8.0,Contract,UAE,Unknown,IT & Computer Science,Senior,Technology,6130.790190735695
0.0,Full-time,UAE,Unknown,Other,Assistant,Healthcare,476.83923705722077
2.0,Full-time,UAE,Diploma,Engineering & Technology,Executive,Technology,1021.7983651226159
1.0,Full-time,UAE,Unknown,Business,Lead,Hospitality,517.7111716621254
1.0,Full-time,UAE,Unknown,Sales & Marketing,Junior,Retail,544.9591280653951
5.0,Full-time,UAE,Unknown,Other,Junior,Manufacturing,1089.9182561307903
2.0,Full-time,UAE,Unknown,Other,Manager,Real Estate,1089.9182561307903
0.0,Full-time,UAE,Bachelor,Education & Teaching,Unknown,Education,1226.158038147139
0.0,Full-time,UAE,Bachelor,Education & Teaching,Unknown,Education,1226.158038147139
1.0,Full-time,UAE,Bachelor,Other,Assistant,Healthcare,2384.1961852861036
3.0,Full-time,UAE,Unknown,Food & Beverage,Unknown,Food & Beverage,1362.397820163488
3.0,Full-time,UAE,Unknown,Other,Assistant,Retail,1049.0463215258856
5.0,Full-time,UAE,Unknown,IT & Computer Science,Assistant,Services,1634.8773841961854
0.0,Full-time,UAE,College,Food & Beverage,Junior,Hospitality,395.09536784741147
0.0,Full-time,UAE,Unknown,Business,Manager,Retail,1089.9182561307903
1.0,Full-time,UAE,Unknown,IT & Computer Science,Unknown,Other,613.0790190735695
2.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,1089.9182561307903
2.0,Unknown,Unknown,Unknown,Business,Executive,Other,1021.7983651226159
1.0,Full-time,Europe,Diploma,Real Estate & Construction,Executive,Other,1021.7983651226159
0.0,Full-time,UAE,Unknown,Food & Beverage,Junior,Hospitality,953.6784741144415
5.0,Full-time,Unknown,Unknown,Business,Lead,Manufacturing,1373.6263736263734
0.0,Full-time,Unknown,Bachelor,Business,Unknown,Technology,1510.989010989011
0.0,Full-time,Qatar,Unknown,Business,Assistant,Education,1682.6923076923074
3.0,Full-time,Unknown,Bachelor,Business,Unknown,Other,1373.6263736263734
1.0,Full-time,Unknown,Bachelor,Business,Unknown,Other,1236.263736263736
1.0,Full-time,Unknown,Unknown,Other,Unknown,Healthcare,892.8571428571428
0.0,Full-time,Unknown,Unknown,Business,Junior,Manufacturing,618.131868131868
0.0,Full-time,Unknown,College,Other,Unknown,Other,755.4945054945055
3.0,Full-time,Unknown,High School,Other,Unknown,Manufacturing,1167.5824175824175
2.0,Full-time,UAE,Unknown,Other,Unknown,Retail,681.198910081744
0.0,Full-time,Unknown,Unknown,Other,Unknown,Technology,1648.3516483516482
2.0,Full-time,Unknown,Unknown,Other,Unknown,Manufacturing,961.5384615384614
15.0,Full-time,Unknown,Bachelor,Real Estate & Construction,Senior,Construction,8241.758241758242
5.0,Unknown,Unknown,Unknown,Business,Junior,Other,1167.5824175824175
0.0,Full-time,Unknown,High School,Other,Unknown,Other,1236.263736263736
3.0,Full-time,Unknown,Unknown,Business,Unknown,Construction,2266.4835164835163
3.0,Full-time,Unknown,Bachelor,Other,Executive,Other,1373.6263736263734
3.0,Unknown,Unknown,Unknown,Other,Senior,Other,1785.7142857142856
0.0,Full-time,Unknown,Unknown,Other,Lead,Retail,1167.5824175824175
5.0,Full-time,Unknown,Unknown,Business,Unknown,Other,1648.3516483516482
2.0,Full-time,Unknown,Unknown,Sales & Marketing,Unknown,Other,961.5384615384614
3.0,Full-time,Unknown,Unknown,Business,Unknown,Construction,2953.296703296703
0.0,Full-time,Unknown,Unknown,Business,Unknown,Retail,1167.5824175824175
1.0,Full-time,Unknown,Unknown,Sales & Marketing,Unknown,Retail,2472.527472527472
3.0,Full-time,Unknown,Diploma,Business,Assistant,Other,1236.263736263736
2.0,Full-time,Unknown,Unknown,Business,Assistant,Other,961.5384615384614
3.0,Full-time,Unknown,Bachelor,Finance & Accounting,Unknown,Other,686.8131868131867
1.0,Full-time,Unknown,Unknown,Other,Senior,Hospitality,755.4945054945055
1.0,Full-time,UAE,Unknown,Business,Junior,Services,408.71934604904635
5.0,Full-time,UAE,Unknown,IT & Computer Science,Senior,Other,1294.2779291553136
2.0,Full-time,UAE,Unknown,Business,Assistant,Construction,858.3106267029974
3.0,Full-time,UAE,Unknown,IT & Computer Science,Executive,Other,1362.397820163488
0.0,Full-time,UAE,Unknown,Business,Executive,Retail,817.4386920980927
0.0,Full-time,UAE,Unknown,Other,Manager,Other,1089.9182561307903
2.0,Full-time,UAE,Unknown,Other,Unknown,Retail,722.0708446866486
1.0,Full-time,Saudi Arabia,Unknown,Other,Executive,Technology,1907.356948228883
2.0,Full-time,UAE,Unknown,Other,Manager,Retail,1021.7983651226159
0.0,Full-time,UAE,Bachelor,Other,Unknown,Other,1362.397820163488
1.0,Full-time,UAE,Unknown,Business,Senior,Other,749.3188010899183
5.0,Full-time,UAE,Diploma,Business,Senior,Other,681.198910081744
0.0,Part-time,UAE,Unknown,Other,Junior,Hospitality,694.8228882833788
2.0,Full-time,UAE,Diploma,Real Estate & Construction,Unknown,Advertising,517.7111716621254
2.0,Full-time,UAE,Unknown,Business,Junior,Other,1089.9182561307903
3.0,Full-time,UAE,High School,Education & Teaching,Lead,Education,817.4386920980927
0.0,Full-time,UAE,Unknown,IT & Computer Science,Executive,Other,681.198910081744
1.0,Full-time,UAE,High School,IT & Computer Science,Unknown,Other,708.4468664850137
0.0,Full-time,UAE,Bachelor,Other,Unknown,Other,585.8310626702997
0.0,Full-time,UAE,Unknown,Other,Senior,Retail,2179.8365122615805
2.0,Full-time,UAE,Diploma,Other,Unknown,Advertising,572.2070844686649
0.0,Full-time,UAE,Unknown,Other,Senior,Other,1130.790190735695
2.0,Full-time,UAE,Unknown,Business,Unknown,Retail,749.3188010899183
3.0,Part-time,UAE,Unknown,Other,Unknown,Education,1498.6376021798367
2.0,Full-time,UAE,Unknown,Food & Beverage,Unknown,Other,640.3269754768393
0.0,Full-time,UAE,Unknown,Other,Junior,Retail,1089.9182561307903
2.0,Full-time,UAE,Unknown,IT & Computer Science,Executive,Technology,1362.397820163488
5.0,Full-time,UAE,Unknown,Other,Unknown,Other,1498.6376021798367
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Junior,Real Estate,2997.2752043596734
3.0,Full-time,UAE,High School,Other,Unknown,Retail,1021.7983651226159
10.0,Full-time,UAE,Unknown,Other,Lead,Real Estate,1634.8773841961854
2.0,Full-time,UAE,Bachelor,Business,Lead,Other,681.198910081744
4.0,Unknown,Unknown,Unknown,Other,Executive,Other,1294.2779291553136
2.0,Full-time,UAE,Bachelor,IT & Computer Science,Junior,Healthcare,1294.2779291553136
2.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,953.6784741144415
2.0,Full-time,UAE,High School,IT & Computer Science,Unknown,Advertising,585.8310626702997
2.0,Full-time,UAE,Bachelor,Other,Unknown,Education,1498.6376021798367
1.0,Full-time,UAE,Unknown,Other,Executive,Retail,817.4386920980927
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,817.4386920980927
0.0,Full-time,UAE,Unknown,IT & Computer Science,Unknown,Technology,681.198910081744
0.0,Full-time,UAE,Unknown,IT & Computer Science,Lead,Other,461.0354223433243
3.0,Full-time,UAE,Unknown,Business,Senior,Other,1634.8773841961854
0.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,613.0790190735695
2.0,Full-time,UAE,Unknown,Sales & Marketing,Assistant,Manufacturing,2043.5967302452318
5.0,Unknown,Unknown,Unknown,Other,Senior,Other,1907.356948228883
3.0,Full-time,UAE,High School,Other,Unknown,Manufacturing,762.9427792915532
5.0,Full-time,UAE,Unknown,Sales & Marketing,Executive,Healthcare,1226.158038147139
1.0,Full-time,UAE,Unknown,IT & Computer Science,Junior,Other,490.46321525885566
2.0,Full-time,UAE,Bachelor,IT & Computer Science,Unknown,Education,885.5585831062671
5.0,Full-time,UAE,Unknown,Other,Unknown,Construction,367.8474114441417
1.0,Full-time,UAE,Diploma,IT & Computer Science,Unknown,Other,681.198910081744
1.0,Full-time,Unknown,Unknown,Other,Unknown,Services,817.4386920980927
0.0,Full-time,UAE,Unknown,Other,Assistant,Healthcare,953.6784741144415
2.0,Full-time,UAE,Unknown,Real Estate & Construction,Senior,Real Estate,817.4386920980927
2.0,Full-time,UAE,Unknown,Business,Unknown,Real Estate,885.5585831062671
0.0,Full-time,UAE,Unknown,Healthcare & Nursing,Unknown,Healthcare,1089.9182561307903
0.0,Full-time,UAE,Unknown,Business,Assistant,Other,681.198910081744
2.0,Full-time,UAE,Unknown,Other,Executive,Other,1226.158038147139
2.0,Full-time,UAE,Bachelor,Real Estate & Construction,Unknown,Real Estate,10899.182561307904
1.0,Full-time,UAE,Unknown,Other,Unknown,Tourism,817.4386920980927
2.0,Full-time,UAE,Bachelor,Business,Mid,Retail,1089.9182561307903
3.0,Full-time,UAE,Bachelor,Healthcare & Nursing,Unknown,Healthcare,2452.316076294278
2.0,Full-time,UAE,Unknown,Other,Executive,Other,613.0790190735695
0.0,Full-time,UAE,Unknown,Other,Junior,Retail,885.5585831062671
3.0,Full-time,UAE,Diploma,Engineering & Technology,Unknown,Manufacturing,1021.7983651226159
0.0,Full-time,UAE,Bachelor,Sales & Marketing,Executive,Other,681.198910081744
1.0,Full-time,UAE,Unknown,IT & Computer Science,Unknown,Technology,1089.9182561307903
2.0,Full-time,UAE,Unknown,Other,Unknown,Other,463.2152588555859
2.0,Full-time,UAE,Unknown,IT & Computer Science,Assistant,Services,817.4386920980927
2.0,Unknown,Unknown,Unknown,Other,Executive,Other,885.5585831062671
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Junior,Real Estate,1907.356948228883
2.0,Full-time,UAE,Bachelor,Business,Executive,Tourism,817.4386920980927
0.0,Full-time,UAE,Bachelor,Healthcare & Nursing,Unknown,Healthcare,2179.8365122615805
2.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,681.198910081744
0.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,953.6784741144415
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,817.4386920980927
1.0,Full-time,UAE,Unknown,Business,Executive,Other,1498.6376021798367
2.0,Full-time,Unknown,High School,IT & Computer Science,Manager,Other,681.198910081744
2.0,Full-time,UAE,Bachelor,Other,Unknown,Manufacturing,762.9427792915532
2.0,Full-time,UAE,Bachelor,Other,Senior,Retail,613.0790190735695
5.0,Full-time,UAE,Unknown,Other,Senior,Manufacturing,544.9591280653951
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Assistant,Construction,1089.9182561307903
1.0,Full-time,UAE,Bachelor/Master,Business,Unknown,Banking,926.4305177111718
0.0,Full-time,UAE,Unknown,Sales & Marketing,Unknown,Technology,1089.9182561307903
3.0,Full-time,UAE,Bachelor,Other,Unknown,Real Estate,1089.9182561307903
0.0,Full-time,UAE,Unknown,Other,Manager,Education,817.4386920980927
1.0,Full-time,UAE,Unknown,Other,Lead,Finance,681.198910081744
2.0,Full-time,UAE,Diploma,Healthcare & Nursing,Executive,Pharmaceuticals,1771.1171662125341
1.0,Full-time,UAE,Unknown,Healthcare & Nursing,Senior,Healthcare,1498.6376021798367
2.0,Full-time,UAE,Bachelor,Real Estate & Construction,Trainer,Education,885.5585831062671
1.0,Full-time,UAE,Unknown,Other,Senior,Entertainment,1362.397820163488
1.0,Part-time,UAE,Unknown,Sales & Marketing,Executive,Healthcare,544.9591280653951
0.0,Full-time,UAE,Unknown,Sales & Marketing,Unknown,Technology,1226.158038147139
